queue_id,queue_title,topic_id
history_black_power,History-Black Power,266
history_1968,History-1968,254
history_the_struggles_of_the_1930s,History-The struggles of the 1930s,252
imperialism_analysis_of_imperialism,Imperialism-Analysis of imperialism,19
israel_repression_of_palestinians,Israel-Repression of Palestinians,44
labor_rebellion_of_the_teachers,Labor-Rebellion of the teachers,187
marxism_and_oppression,Marxism and oppression,282
syria_civil_war,Syria-Civil war,67
trump_s_war_on_immigrants,Trump’s war on immigrants,147
women_s_rights__metoo_and_sexual_assault,Women's rights-#MeToo and sexual assault,28421
women_s_rights_reproductive_freedom,Women’s rights-Reproductive freedom,156
