source,redirect
department,internal:/section
department/War-and-Antiwar,internal:/topic/17/3
department/Economy,internal:/topic/72
department/National,internal:/topic/129/3
department/International,internal:/topic/191/4
department/Opinion,internal:/section/editorials
department/Opinion/Editorials,internal:/section/editorials
department/History-and-Traditions,internal:/section/history-and-traditions
department/Labor,internal:/section/labor
department/Activist-News,internal:/section/activist-news
department/Readers%27-Views,internal:/section/readers'-views
department/Readers'-Views,internal:/section/readers'-views
department/Books-and-Entertainment,internal:/topic/284
department/Obrero-Socialista,internal:/section/obrero-socialista
